Symbol,Name,Open,Last,Prev_Open,Prev_Last,Open_2D_Ago,Last_2D_Ago,20D_MA,Volume,Industry,Sector
EGA.VN,Eagle Graphite Incorporated,0.125,0.125,0.135,0.14,0.15,0.14,0.162,11500,N/L,Basic Materials
EPL.VN,Eagle Plains Resources Ltd,0.17,0.17,0.17,0.17,0.165,0.165,0.174,93304,N/L,Basic Materials
ERTH.CN,Earthrenew Inc,0.29,0.285,0.295,0.29,0.285,0.3,0.293,44590,N/L,N/A
EWK.VN,Earthworks Industries Inc,0.22,0.2,0.205,0.2,0.21,0.2,0.267,88000,N/L,Industrial Products
EW.VN,East West Petroleum Corp,0.1,0.095,0.09,0.095,0.095,0.085,0.081,48000,N/L,Oils-Energy
ELR.TO,Eastern Platinum Ltd,0.24,0.24,0.245,0.235,0.235,0.235,0.2501,13500,N/L,N/A
ETF.VN,Eastfield Resources Ltd,0.06,0.055,0.06,0.06,0.06,0.06,0.066,20016,N/L,N/A
ESTW.VN,Eastower Wireless Inc,0.095,0.09,0.095,0.095,0.1,0.095,0.09,35000,N/L,N/A
EATS.CN,Eat & Beyond Global Hldgs Inc,0.195,0.195,0.19,0.19,0.19,0.19,0.233,8125,N/L,N/A
EWG.CN,Eat Well Invt Group Inc,0.32,0.34,0.285,0.29,0.29,0.29,0.293,63138,N/L,N/A
ECN.TO,Ecn Capital Corp,6.1,6.09,5.95,6.08,5.78,5.9,5.94,87666,N/L,Finance
ECN-DB-A.TO,Ecn Capital Corp 6 Pct  Debs A,98,98,99,100,99.5,100,98.7,66000,N/L,N/A
ECN-DB.TO,Ecn Capital Corp 6.0 Pct Debs,99.99,100,100.25,99.57,100,100.25,99.43,68000,N/L,N/A
ECN-DB-B.TO,Ecn Capital Corp 6.25 Pct Debs,97,97,97.01,97,97.01,97,97.26,46000,N/L,N/A
EOG.VN,Eco Atlantic Oil and Gas Ltd,0.51,0.52,0.51,0.51,0.52,0.5,0.536,46191,N/L,Oils-Energy
EDY.VN,Eddy Smart Home Solutions Ltd,0.28,0.32,0.28,0.345,0.28,0.28,0.332,14024,N/L,N/A
EDGM.CN,Edgemont Gold Corp,0.06,0.06,0.06,0.06,0.06,0.06,0.062,21950,N/L,N/A
YFI.VN,Edgewater Wireless Systems Inc,0.065,0.06,0.07,0.07,0.07,0.07,0.075,3006,N/L,Industrial Products
EDDY.VN,Edison Battery Metals Corp,0.115,0.1,0.1,0.1,0.105,0.1,0.115,28516,N/L,Basic Materials
EGT.VN,Eguana Technologies Inc,0.32,0.32,0.3,0.32,0.3,0.295,0.287,143706,N/L,N/A
ERA.VN,Elcora Advanced Materials Corp,0.055,0.055,0.055,0.055,0.05,0.055,0.048,8250,N/L,Basic Materials
ELD.TO,Eldorado Gold,10.53,10.525,10.55,10.4,10.63,10.46,10.97,87659,N/L,Basic Materials
EFL.TO,Electrovaya Inc,0.63,0.63,0.63,0.62,0.63,0.61,0.68,10120,N/L,N/A
ECU.VN,Element 29 Resources Inc,0.38,0.37,0.36,0.37,0.375,0.365,0.412,17000,N/L,Basic Materials
EFN.TO,Element Fleet Management Corp,14.07,14.09,14,14.03,13.77,13.88,12.82,104485,N/L,Consumer Discretionary
ELMT.CN,Element Nutritional Sciences Inc,0.255,0.29,0.24,0.23,0.26,0.23,0.252,677036,N/L,N/A
ELEM.CN,Element79 Gold Corp,0.65,0.69,0.6,0.69,0.62,0.61,0.752,25784,N/L,N/A
ELO.VN,Eloro Resources Ltd,3.45,3.47,3.51,3.42,3.58,3.45,3.745,14173,N/L,Basic Materials
